Tanggal		t	Indonesia	IndoKum
11/09/2020	194	3737	210940
12/09/2020	195	3817	214757
13/09/2020	196	3625	218382
14/09/2020	197	3141	221523
15/09/2020	198	3507	225030
16/09/2020	199	3963	228993
17/09/2020	200	3635	232628
18/09/2020	201	3891	236519
19/09/2020	202	4168	240687
20/09/2020	203	3989	244676
21/09/2020	204	4176	248852
22/09/2020	205	4071	252923
23/09/2020	206	4465	257388
24/09/2020	207	4634	262022
25/09/2020	208	4823	266845
26/09/2020	209	4494	271339
27/09/2020	210	3874	275213
28/09/2020	211	3509	278722
29/09/2020	212	4002	282724
30/09/2020	213	4284	287008
01/10/2020	214	4174	291182
02/10/2020	215	4317	295499
03/10/2020	216	4007	299506
04/10/2020	217	3992	303498
05/10/2020	218	3622	307120
06/10/2020	219	4056	311176
07/10/2020	220	4538	315714
08/10/2020	221	4850	320564
09/10/2020	222	4094	324658
10/10/2020	223	4294	328952
11/10/2020	224	4497	333449
12/10/2020	225	3267	336716
13/10/2020	226	3906	340622
14/10/2020	227	4127	344749
15/10/2020	228	4411	349160
16/10/2020	229	4301	353461
17/10/2020	230	4301	357762
18/10/2020	231	4105	361867
19/10/2020	232	3373	365240
20/10/2020	233	3602	368842
21/10/2020	234	4267	373109
22/10/2020	235	4432	377541
23/10/2020	236	4369	381910
24/10/2020	237	4070	385980
25/10/2020	238	3732	389712
26/10/2020	239	3222	392934
27/10/2020	240	3520	396454
28/10/2020	241	4029	400483
29/10/2020	242	3565	404048
30/10/2020	243	2897	406945
31/10/2020	244	3143	410088
01/11/2020	245	2696	412784
02/11/2020	246	2618	415402
03/11/2020	247	2973	418375
04/11/2020	248	3356	421731
05/11/2020	249	4065	425796
06/11/2020	250	3778	429574
07/11/2020	251	4262	433836
08/11/2020	252	3880	437716
09/11/2020	253	2853	440569
10/11/2020	254	3779	444348
11/11/2020	255	3770	448118
12/11/2020	256	4173	452291
13/11/2020	257	5444	457735
14/11/2020	258	5272	463007
15/11/2020	259	4106	467113
16/11/2020	260	3535	470648
17/11/2020	261	3807	474455
18/11/2020	262	4265	478720
19/11/2020	263	4798	483518
20/11/2020	264	4792	488310
21/11/2020	265	4998	493308
22/11/2020	266	4360	497668
23/11/2020	267	4442	502110
24/11/2020	268	4192	506302
25/11/2020	269	5534	511836
26/11/2020	270	4917	516753
27/11/2020	271	5828	522581
28/11/2020	272	5418	527999
29/11/2020	273	6267	534266
30/11/2020	274	4617	538883
01/12/2020	275	5092	543975
02/12/2020	276	5533	549508
03/12/2020	277	8369	557877
04/12/2020	278	5803	563680
05/12/2020	279	6027	569707
06/12/2020	280	6089	575796
07/12/2020	281	5754	581550
08/12/2020	282	5292	586842
09/12/2020	283	6058	592900
10/12/2020	284	6033	598933
11/12/2020	285	6310	605243
12/12/2020	286	6388	611631
13/12/2020	287	6189	617820
14/12/2020	288	5489	623309
15/12/2020	289	6120	629429
16/12/2020	290	6725	636154
17/12/2020	291	7354	643508
18/12/2020	292	6689	650197
19/12/2020	293	7751	657948
20/12/2020	294	6982	664930
21/12/2020	295	6848	671778
22/12/2020	296	6347	678125
23/12/2020	297	7514	685639
24/12/2020	298	7199	692838
25/12/2020	299	7259	700097
26/12/2020	300	6740	706837
27/12/2020	301	6528	713365
28/12/2020	302	5854	719219
29/12/2020	303	7903	727122
30/12/2020	304	8002	735124
31/12/2020	305	8074	743198
01/01/2021	306	8072	751270
02/01/2021	307	7203	758473
03/01/2021	308	6877	765350
04/01/2021	309	6753	772103
05/01/2021	310	7445	779548
06/01/2021	311	8854	788402
07/01/2021	312	9321	797723
08/01/2021	313	10617	808340
09/01/2021	314	10046	818386
10/01/2021	315	9640	828026
11/01/2021	316	8692	836718
12/01/2021	317	10047	846765
13/01/2021	318	11278	858043
14/01/2021	319	11557	869600
15/01/2021	320	12818	882418
16/01/2021	321	14224	896642
17/01/2021	322	11287	907929
18/01/2021	323	9086	917015
19/01/2021	324	10365	927380
20/01/2021	325	12568	939948
21/01/2021	326	11703	951651
22/01/2021	327	13632	965283
23/01/2021	328	12191	977474
24/01/2021	329	11788	989262
25/01/2021	330	9994	999256
26/01/2021	331	13094	1012350
27/01/2021	332	11948	1024298
28/01/2021	333	13695	1037993
29/01/2021	334	13802	1051795
30/01/2021	335	14518	1066313
31/01/2021	336	12001	1078314
01/02/2021	337	10994	1089308
02/02/2021	338	10379	1099687
03/02/2021	339	11984	1111671
04/02/2021	340	11434	1123105
05/02/2021	341	11749	1134854
06/02/2021	342	12156	1147010
07/02/2021	343	10827	1157837
08/02/2021	344	8242	1166079
09/02/2021	345	8700	1174779
10/02/2021	346	8776	1183555
11/02/2021	347	8435	1191990
12/02/2021	348	9869	1201859
13/02/2021	349	8844	1210703
14/02/2021	350	6765	1217468
15/02/2021	351	6462	1223930
16/02/2021	352	10029	1233959
17/02/2021	353	9687	1243646
18/02/2021	354	9039	1252685
19/02/2021	355	10614	1263299
20/02/2021	356	8054	1271353
21/02/2021	357	7300	1278653
22/02/2021	358	10180	1288833
23/02/2021	359	9775	1298608
24/02/2021	360	7533	1306141
25/02/2021	361	8493	1314634
26/02/2021	362	8232	1322866
27/02/2021	363	6208	1329074
28/02/2021	364	5560	1334634
01/03/2021	365	6680	1341314
02/03/2021	366	5712	1347026
03/03/2021	367	6808	1353834
04/03/2021	368	7264	1361098
05/03/2021	369	6971	1368069
06/03/2021	370	5767	1373836
07/03/2021	371	5826	1379662
08/03/2021	372	6894	1386556
09/03/2021	373	6389	1392945
10/03/2021	374	5633	1398578
11/03/2021	375	5144	1403722
12/03/2021	376	6412	1410134
13/03/2021	377	4607	1414741
14/03/2021	378	4714	1419455
15/03/2021	379	5589	1425044
16/03/2021	380	5414	1430458
17/03/2021	381	6825	1437283
18/03/2021	382	6570	1443853
19/03/2021	383	6279	1450132
20/03/2021	384	5656	1455788
21/03/2021	385	4396	1460184
22/03/2021	386	5744	1465928
23/03/2021	387	5297	1471225
24/03/2021	388	5227	1476452
25/03/2021	389	6107	1482559
26/03/2021	390	4982	1487541
27/03/2021	391	4461	1492002
28/03/2021	392	4083	1496085
29/03/2021	393	5008	1501093
30/03/2021	394	4682	1505775
31/03/2021	395	5937	1511712
